Mun;Assistente Social;Enfermeiro;Fisioterapeuta;Fonoaudiólogo;Nutricionista;Odontólogo;Psicólogo;Psiquiatra;Total
110150 Seringueiras;0.0;6.0;2.0;0.0;1.0;1.0;1.0;0.0;11.0
110155 Teixeirópolis;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0
110160 Theobroma;1.0;4.0;2.0;0.0;0.0;0.0;1.0;0.0;8.0
110170 Urupá;1.0;4.0;3.0;0.0;1.0;11.0;2.0;0.0;22.0
110175 Vale do Anari;1.0;2.0;1.0;1.0;0.0;2.0;0.0;0.0;7.0
110180 Vale do Paraíso;1.0;5.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0
110030 Vilhena;25.0;134.0;72.0;18.0;15.0;129.0;75.0;7.0;475.0
120001 Acrelândia;4.0;7.0;3.0;1.0;2.0;0.0;4.0;0.0;21.0
120005 Assis Brasil;2.0;10.0;2.0;0.0;1.0;1.0;2.0;0.0;18.0
120010 Brasiléia;8.0;43.0;7.0;0.0;3.0;6.0;8.0;0.0;75.0
120013 Bujari;0.0;2.0;1.0;0.0;1.0;0.0;2.0;0.0;6.0
120017 Capixaba;1.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;5.0
120020 Cruzeiro do Sul;26.0;142.0;39.0;6.0;11.0;15.0;16.0;1.0;256.0
120025 Epitaciolândia;2.0;3.0;0.0;0.0;1.0;3.0;3.0;0.0;12.0
120030 Feijó;2.0;18.0;3.0;0.0;1.0;1.0;2.0;0.0;27.0
120032 Jordão;0.0;8.0;0.0;0.0;0.0;3.0;0.0;0.0;11.0
120033 Mâncio Lima;2.0;9.0;0.0;0.0;2.0;0.0;1.0;0.0;14.0
120034 Manoel Urbano;1.0;7.0;2.0;0.0;0.0;0.0;1.0;0.0;11.0
120035 Marechal Thaumaturgo;2.0;9.0;1.0;1.0;0.0;0.0;1.0;0.0;14.0
120038 Plácido de Castro;2.0;16.0;4.0;0.0;1.0;1.0;2.0;0.0;26.0
120080 Porto Acre;1.0;1.0;2.0;0.0;1.0;0.0;2.0;0.0;7.0
120039 Porto Walter;1.0;5.0;1.0;0.0;0.0;1.0;1.0;0.0;9.0
120040 Rio Branco;88.0;638.0;167.0;46.0;68.0;200.0;131.0;10.0;1348.0
120042 Rodrigues Alves;1.0;7.0;3.0;0.0;0.0;1.0;1.0;0.0;13.0
120043 Santa Rosa do Purus;2.0;8.0;1.0;0.0;0.0;0.0;0.0;0.0;11.0
120050 Sena Madureira;7.0;26.0;5.0;1.0;2.0;3.0;5.0;0.0;49.0
120045 Senador Guiomard;2.0;17.0;2.0;0.0;1.0;1.0;1.0;0.0;24.0
120060 Tarauacá;3.0;18.0;3.0;2.0;4.0;6.0;3.0;0.0;39.0
120070 Xapuri;1.0;12.0;3.0;0.0;0.0;0.0;1.0;0.0;17.0
130002 Alvarães;2.0;7.0;4.0;0.0;1.0;1.0;0.0;0.0;15.0
